Label,Enumeration Value,Description
FileActionName,create file alternate data stream,Specifies the defined Action of creating an alternate data stream in an existing file.
FileActionName,send control code to file,Specifies the defined Action of sending a control code to a file.
FileActionName,create file mapping,Specifies the defined Action of creating a new file mapping object.
FileActionName,open file mapping,Specifies the defined Action of opening an existing file mapping object.
FileActionName,execute file,Specifies the defined Action of executing an existing file.
FileActionName,hide file,Specifies the defined Action of hiding an existing file.
FileActionName,close file,Specifies the defined Action of closing an existing file that previously opened for reading or writing.
FTPActionName,connect to ftp server,Specifies the defined Action of connecting to an existing FTP server.
FTPActionName,disconnect from ftp server,Specifies the defined Action of disconnecting from an existing FTP server.
FTPActionName,send ftp command,Specifies the defined Action of sending a command on an FTP server connection
GUIActionName,create window,Specifies the defined Action of creating a new window.
GUIActionName,kill window,Specifies the defined Action of killing an existing window.
GUIActionName,create dialog box,Specifies the defined Action of creating a new dialog box.
GUIActionName,enumerate windows,Specifies the defined Action of enumerating all open windows
GUIActionName,find window,Specifies the defined Action of search for a particular window.
GUIActionName,hide window,Specifies the defined Action of hiding an existing window.
GUIActionName,show window,Specifies the defined Action of showing an existing window
HookingActionName,add system call hook,Specifies the defined Action of adding a new system call hook.
HookingActionName,add windows hook,Specifies the defined Action of adding a new Windows application-defined hook procedure.
HookingActionName,hide hook,Specifies the defined action of hiding an existing hook.
HTTPActionName,send http get request,Specifies the defined Action of sending an HTTP GET client request to an existing server.
HTTPActionName,send http head request,Specifies the defined Action of sending an HTTP HEAD client request to an existing server.
HTTPActionName,send http post request,Specifies the defined Action of sending an HTTP HEAD client request to an existing server.
HTTPActionName,send http put request,Specifies the defined Action of sending an HTTP PUT client request to an existing server.
HTTPActionName,send http delete request,Specifies the defined Action of sending an HTTP DELETE client request to an existing server.
HTTPActionName,send http trace request,Specifies the defined Action of sending an HTTP TRACE client request to an existing server.
HTTPActionName,send http options request,Specifies the defined Action of sending an HTTP OPTIONS client request to an existing server.
HTTPActionName,send http connect request,Specifies the defined Action of sending an HTTP CONNECT client request to an existing server.
HTTPActionName,send http patch request,Specifies the defined Action of sending an HTTP PATCH client request to an existing server.
HTTPActionName,receive http response,Specifies the defined Action of receiving an HTTP server response for a prior HTTP request.
IPCActionName,create named pipe,Specifies the defined Action of creating a new named pipe.
IPCActionName,delete named pipe,Specifies the defined Action of deleting an existing named pipe.
IPCActionName,connect to named pipe,Specifies the defined Action of connecting to an existing named pipe.
IPCActionName,disconnect from named pipe,Specifies the defined Action of disconnecting from an existing named pipe.
IPCActionName,read from named pipe,Specifies the defined Action of reading some data from an existing named pipe.
IPCActionName,write to named pipe,Specifies the defined Action of writing some data to an existing named pipe.
IPCActionName,create mailslot,Specifies the defined Action of creating a new named mailslot.
IPCActionName,read from mailslot,Specifies the defined Action of reading some data from an existing named mailslot.
IPCActionName,write to mailslot,Specifies the defined Action of writing some data to an existing named mailslot.
IRCActionName,connect to irc server,Specifies the defined Action of connecting to an existing IRC server.
IRCActionName,disconnect from irc server,Specifies the defined Action of disconnecting from an existing IRC server.
IRCActionName,set irc nickname,Specifies the defined Action of setting an IRC nickname on an IRC server.
IRCActionName,join irc channel,Specifies the defined Action of joining a channel on an IRC server.
IRCActionName,leave irc channel,Specifies the defined Action of leaving a channel on an IRC server.
IRCActionName,send irc private message,Specifies the defined Action of sending a private message to another user on an IRC server.
IRCActionName,receive irc private message,Specifies the defined Action of receiving a private message from another user on an IRC server.
LibraryActionName,enumerate libraries,Specifies the defined Action of enumerating the libraries used by a process.
LibraryActionName,free library,Specifies the defined Action of freeing a library previously loaded into the address space of the calling process.
LibraryActionName,load library,Specifies the defined Action of loading a library into the address space of the calling process.
LibraryActionName,get function address,Specifies the defined Action of getting the address of an exported function or variable from a library.
LibraryActionName,call library function,Specifies the defined action of calling a function exported by a library.
NetworkActionName,open port,Specifies the defined Action of opening a network port.
NetworkActionName,close port,Specifies the defined Action of closing a network port.
NetworkActionName,connect to ip,Specifies the defined Action of connecting to an IP address.
NetworkActionName,disconnect from ip,Specifies the defined Action of disconnecting from a previously established connection with an IP address.
NetworkActionName,connect to url,Specifies the defined Action of connecting to a URL.
NetworkActionName,connect to socket address,"Specifies the defined Action of connecting to a socket address, consisting of an IP address and port number."
NetworkActionName,download file,Specifies the defined Action of downloading a file from a remote location.
NetworkActionName,upload file,Specifies the defined Action of uploading a file to a remote location.
NetworkActionName,listen on port,Specifies the defined Action of listening on a specific port.
NetworkActionName,send email message,Specifies the defined Action of sending an email message.
NetworkActionName,send icmp request,Specifies the defined Action of sending an ICMP request.
NetworkActionName,send network packet,Specifies the defined action of sending a packet on a network.
NetworkActionName,receive network packet,Specifies the defined action of receiving a packet on a network.
NetworkShareActionName,add connection to network share,Specifies the defined Action of adding a connection to an existing network share.
NetworkShareActionName,add network share,Specifies the defined Action of adding a new network share on a server.
NetworkShareActionName,delete network share,Specifies the defined Action of deleting an existing network share on a server.
NetworkShareActionName,connect to network share,Specifies the defined Action of connecting to an existing network share.
NetworkShareActionName,disconnect from network share,Specifies the defined Action of disconnecting from an existing network share.
NetworkShareActionName,enumerate network shares,Specifies the defined Action of enumerating the available shared resources on a server.
ProcessActionName,create process,Specifies the defined Action of creating a new process.
ProcessActionName,kill process,Specifies the defined Action of killing an existing process.
ProcessActionName,create process as user,Specifies the defined Action of creating a new process in the security context of a specified user.
ProcessActionName,enumerate processes,Specifies the defined Action of enumerating all of the running processes on a system.
ProcessActionName,open process,Specifies the defined Action of opening an existing process.
ProcessActionName,flush process instruction cache,Specifies the defined Action of flushing the instruction cache of an existing process.
ProcessActionName,get process current directory,Specifies the defined Action of getting the current directory of an existing process.
ProcessActionName,set process current directory,Specifies the defined Action of setting the current directory of an existing process.
ProcessActionName,get process environment variable,Specifies the defined Action of getting an environment variable used by an existing process.
ProcessActionName,set process environment variable,Specifies the defined Action of setting an environment variable used by an existing process.
ProcessActionName,sleep process,Specifies the defined Action of sleeping an existing process for some period of time.
ProcessActionName,get process startupinfo,Specifies the defined Action of getting the STARTUPINFO struct associated with an existing process
ProcessMemoryActionName,allocate process virtual memory,Specifies the defined Action of allocating some virtual memory region in an existing process.
ProcessMemoryActionName,free process virtual memory,Specifies the defined Action of freeing some virtual memory region from an existing process.
ProcessMemoryActionName,modify process virtual memory,Specifies the defined Action of modifying the protection on a memory region in the virtual address space
ProcessMemoryActionName,protection,of an existing process.
ProcessMemoryActionName,read from process memory,Specifies the defined Action of reading from a memory region of an existing process
ProcessMemoryActionName,write to process memory,Specifies the defined Action of writing to a memory region of an existing process.
ProcessMemoryActionName,map file into process,Specifies the defined Action of mapping an existing file into the address space of the calling process.
ProcessMemoryActionName,upmap file from process,Specifies the defined Action of unmapping an existing file from the address space of the calling process.
ProcessMemoryActionName,map library into process,Specifies the defined Action of mapping a library into the address space of the calling process
ProcessThreadActionName,create thread,Specifies the defined Action of creating a new thread in the virtual address space of the calling process.
ProcessThreadActionName,kill thread,Specifies the defined Action of killing a thread existing in the virtual address space of the calling process.
ProcessThreadActionName,create remote thread in process,Specifies the defined Action of creating a thread that runs in the virtual address space of another existing process.
ProcessThreadActionName,enumerate threads,Specifies the defined Action of enumerating all threads in the calling process.
ProcessThreadActionName,get thread username,Specifies the defined Action of getting the name or ID of the user associated with an existing thread.
ProcessThreadActionName,impersonate process,Specifies the defined Action of a thread in the calling process impersonating the security context of another existing process.
ProcessThreadActionName,revert thread to self,Specifies the defined Action of reverting an existing thread to its own security context.
ProcessThreadActionName,get thread context,Specifies the defined Action of getting the context structure (containing processor-specific register data) of an existing thread.
ProcessThreadActionName,set thread context,Specifies the defined Action of setting the context structure (containing processor-specific register data) for an existing thread.
ProcessThreadActionName,queue apc in thread﻿,Specifies the defined Action of queuing a new Asynchronized Procedure Call (APC) in the context of an existing thread.
RegistryActionName,create registry key,Specifies the defined Action of creating a new registry key.
RegistryActionName,delete registry key,Specifies the defined Action of deleting an existing registry key.
RegistryActionName,open registry key,Specifies the defined Action of opening an existing registry key.
RegistryActionName,close registry key,Specifies the defined Action of closing a handle to an existing registry key.
RegistryActionName,create registry key value,Specifies the defined Action of creating a new named value under an existing registry key.
RegistryActionName,delete registry key value,Specifies the defined Action of deleting an existing named value under an existing registry key.
RegistryActionName,enumerate registry key subkeys,Specifies the defined Action of enumerating the registry key subkeys under an existing registry key.
RegistryActionName,enumerate registry key values,Specifies the defined Action of enumerating the named values under an existing registry key.
RegistryActionName,get registry key attributes,Specifies the defined Action of getting the attributes of an existing registry key.
RegistryActionName,read registry key value,Specifies the defined Action of reading an existing named value of an existing registry key.
RegistryActionName,modify registry key value,Specifies the defined Action of modifying an existing named value of an existing registry key.
RegistryActionName,modify registry key,Specifies the defined Action of modifying an existing registry key.
RegistryActionName,monitor registry key,Specifies the defined Action of monitoring an existing registry key for changes.
SocketActionName,create service,Specifies the defined Action of creating a new service.
SocketActionName,delete service,Specifies the defined Action of deleting an existing service.
SocketActionName,start service,Specifies the defined Action of starting an existing service.
SocketActionName,stop service,Specifies the defined Action of stopping an existing service.
SocketActionName,enumerate services,Specifies the defined Action of enumerating a specific set of services on a system.
SocketActionName,modify service configuration,Specifies the defined Action of modifying the configuration parameters of an existing service.
SocketActionName,open service,Specifies the defined Action of opening an existing service.
SocketActionName,send control code to service,Specifies the defined Action of sending a control code to an existing service.
SocketActionName,accept socket connection,Specifies the defined Action of accepting a socket connection.
SocketActionName,bind address to socket,Specifies the defined Action of binding a socket address to a socket.
SocketActionName,create socket,Specifies the defined Action of creating a new socket.
SocketActionName,close socket,Specifies the defined Action of closing an existing socket.
SocketActionName,connect to socket,Specifies the defined Action of connecting to an existing socket.
SocketActionName,disconnect from socket,Specifies the defined Action of disconnecting from an existing socket.
SocketActionName,listen on socket,Specifies the defined Action of listening on an existing socket.
SocketActionName,send data on socket,"Specifies the defined Action of sending data on an existing, connected socket."
SocketActionName,receive data on socket,Specifies the defined Action of receiving data on an existing socket
SocketActionName,send data to address on socket,"Specifies the defined Action of sending data to a specified IP address on an existing, unconnected socket."
SocketActionName,get host by address,Specifies the defined Action of getting information on a host from a local or remote host database by its IP address.
SocketActionName,get host by name,Specifies the defined Action of getting information on a host from a local or remote host database by its name.
SynchronizationActionName,create mutex,Specifies the defined Action of creating a new named mutex.
SynchronizationActionName,delete mutex,Specifies the defined Action of deleting an existing named mutex.
SynchronizationActionName,open mutex,Specifies the defined Action of opening an existing named mutex.
SynchronizationActionName,release mutex,Specifies the defined Action of releasing ownership of an existing named mutex.
SynchronizationActionName,create semaphore,Specifies the defined Action of creating a new named semaphore.
SynchronizationActionName,delete semaphore,Specifies the defined Action of deleting an existing named semaphore.
SynchronizationActionName,open semaphore,Specifies the defined Action of opening an existing named semaphore.
SynchronizationActionName,release semaphore,Specifies the defined Action of releasing ownership of an existing named semaphore.
SynchronizationActionName,create event,Specifies the defined Action of creating a new named event object.
SynchronizationActionName,delete event,Specifies the defined Action of deleting an existing named event object.
SynchronizationActionName,open event,Specifies the defined Action of opening an existing named event object.
SynchronizationActionName,reset event,Specifies the defined Action of resetting an existing named event object to the non-signaled state.
SynchronizationActionName,create critical section,Specifies the defined Action of creating a new critical section.
SynchronizationActionName,delete critical section,Specifies the defined Action of deleting an existing critical section object.
SynchronizationActionName,open critical section,Specifies the defined Action of opening an existing critical section object.
SynchronizationActionName,release critical section,Specifies the defined Action of releasing an existing critical section object.
SystemActionName,add scheduled task,Specifies the defined Action of adding a scheduled task to a system.
SystemActionName,shutdown system,Specifies the defined Action of shutting down a system.
SystemActionName,sleep system,Specifies the defined Action of sleeping a system for some period of time.
SystemActionName,get elapsed system up time,Specifies the defined Action of getting the elapsed up-time for a system.
SystemActionName,get netbios name,Specifies the defined Action of getting the NetBIOS name of a system.
SystemActionName,set netbios name,Specifies the defined Action of setting the NetBIOS name of a system.
SystemActionName,get system host name,Specifies the defined Action of getting the host name of a system.
SystemActionName,set system host name,Specifies the defined Action of setting the system host name of a system.
SystemActionName,get system time,"Specifies the defined Action of getting the system time of a system, represented in Coordinated Universal Time (UTC)."
SystemActionName,set system time,"Specifies the defined Action of setting the system time for a system, represented in Coordinated Universal Time (UTC)."
SystemActionName,get system local time,Specifies the defined Action of getting the local time of a system.
SystemActionName,set system local time,Specifies the defined Action of setting the local time of a system.
SystemActionName,get username,Specifies the defined Action of getting the username of the currently logged in user of a system.
SystemActionName,enumerate system handles,Specifies the defined Action of enumerating all open handles on a system.
SystemActionName,get system global flags,Specifies the defined Action of getting the enabled global flags on a system.
SystemActionName,set system global flags,Specifies the defined Action of setting system global flags on a system.
SystemActionName,get windows directory,Specifies the defined Action of getting the path to the Windows installation directory on a system.
SystemActionName,get windows system directory,Specifies the defined Action of getting the path to the Windows \System directory on a system.
SystemActionName,get windows temporary files directory,Specifies the defined Action of getting the path to the Windows Temporary Files Directory on a system.
UserActionName,add user,Specifies the defined Action of adding a new user.
UserActionName,delete user,Specifies the defined Action of deleting an existing user.
UserActionName,enumerate users,Specifies the defined Action of enumerating all users.
UserActionName,get user attributes,Specifies the defined Action of getting the attributes of an existing user.
UserActionName,logon as user,Specifies the defined Action of logging on as a specific user.
UserActionName,change password,Specifies the defined Action of changing an existing user's password.
UserActionName,add user to group,Specifies the defined Action of adding an existing user to an existing group.
UserActionName,remove user from group,Specifies the defined Action of removing an existing user from existing group.
UserActionName,invoke user privilege,Specifies the defined Action of invoking a privilege given to an existing user.
ImportanceType,high,Specifies that the field is of relative high importance.
ImportanceType,medium,Specifies that the field is of relative medium importance.
ImportanceType,low,Specifies that the field is of relative low importance.
ImportanceType,informational,Specifies that the field is only informational in its importance.
ImportanceType,numeric,"Specifies that the field has a numeric importance value, which is defined in another attribute or element."
ImportanceType,unknown,Specifies that the relative importance for the field is unknown.
MalwareEntityType,instance,Specifies that the particular malware entity being referred to is a single malware instance.
MalwareEntityType,family,Specifies that the particular malware entity being referred to is a single malware family.
MalwareEntityType,class,Specifies that the particular malware entity being referred to is a single class of malware.
CapabilityObjectiveRelationshipType,child of,Indicates that the Objective is a child of the Objective being referenced.
CapabilityObjectiveRelationshipType,parent of,Indicates that the Objective is a parent of the Objective being referenced.
CapabilityObjectiveRelationshipType,incorporates,Indicates that the Objective incorporates the Objective being referenced in a supporting or enabling role.
CapabilityObjectiveRelationshipType,incorporated by,Indicates that the Objective is incorporated in a supporting or enabling role by the Objective being referenced.
CommonCapabilityProperties,encryption algorithm,Refers to the name of the encryption algorithm used in the Capability or Objective.
CommonCapabilityProperties,protocol used,"Refers to the name of the network protocol used in the Capability or Strategic or Tactical Objective. It is recommended that protocols be specified by their acronym or abbreviated name, e.g. ""IRC"", ""HTTP""."
MalwareCapability,command and control,Indicates that the malware instance is able to receive and execute remotely submitted commands.
MalwareCapability,remote machine,Indicates that the malware instance is able to manipulate or access other remote machines.
MalwareCapability,manipulation,Indicates that the malware instance is able to elevate the privileges under which it executes.
MalwareCapability,privilege escalation,Indicates that the malware instance is able to steal data from the system on which it executes. This includes data
MalwareCapability,data theft,"stored in some form, e.g. in a file, as well as data that may be entered into some application such as a web- browser."
MalwareCapability,spying,Indicates that the malware instance is able to capture information from a system related to user or system activity
MalwareCapability,secondary operation,Indicates that the malware instance is able to achieve secondary objectives in conjunction with or after achieving its primary objectives.
MalwareCapability,anti-detection,Indicates that the malware instance is able to prevent itself and its components from being detected on a system.
MalwareCapability,anti-code analysis,Indicates that the malware instance is able to prevent code analysis or make it more difficult.
MalwareCapability,infection/propagation,"Indicates that the malware instance is able to propagate through the infection of a machine or is able to infect a file after executing on a system. The malware instance may infect actively (e.g., gain access to a machine directly) or passively (e.g., send malicious email). This Capability does not encompass any aspects of the initial infection that is done independently of the malware instance itself."
MalwareCapability,anti-behavioral analysis,Indicates that the malware instance is able to prevent behavioral analysis or make it more difficult.
MalwareCapability,integrity violation,Indicates that the malware instance is able to compromise the integrity of a system.
MalwareCapability,data exfiltration,Indicates that the malware instance is able to exfiltrate stolen data or perform tasks related to the exfiltration of stolen data.
MalwareCapability,probing,Indicates that the malware instance is able to probe its host system or network environment; most often this is done to support other Capabilities and their Objectives.
MalwareCapability,anti-removal,Indicates that the malware instance is able to prevent itself and its components from being removed from a system.
MalwareCapability,security degradation,Indicates that the malware instance is able to bypass or disable security features and/or controls.
MalwareCapability,availability violation,Indicates that the malware instance is able to compromise the availability of a system or some aspect of the system.
MalwareCapability,destruction,Indicates that the malware instance is able to destroy some aspect of a system.
MalwareCapability,fraud,Indicates that the malware instance is able to defraud a user or a system.
MalwareCapability,persistence,Indicates that the malware instance is able to persist and remain on a system regardless of system events.
MalwareCapability,machine access/control,Indicates that the malware instance is able to provide the means to access or control the machine on which it is resident.
MalwareLabel,adware,"Specifies any software that is funded by advertising. Some adware may install itself in such a manner as to become difficult to remove, hiding components and disabling removal techniques. Adware may also gather sensitive user information from a system."
MalwareLabel,appender,"Specifies a file-infecting virus that places its code at the end of the files it infects, adjusting the file's entry point to cause its code to be executed before that of the original file."
MalwareLabel,backdoor,"Specifies a piece of software which, once running on a system, opens a communication vector to the outside so that the computer can be accessed remotely by an attacker."
MalwareLabel,boot sector virus,Specifies a virus that infects the master boot record of a storage device.
MalwareLabel,bot,"Specifies a program which resides on an infected system, communicating with and forming part of a botnet. The bot may be implanted by a worm or trojan, which opens a backdoor. The bot then monitors the backdoor for further instructions."
MalwareLabel,clicker,"Specifies a trojan that makes a system visit a specific Web page, often very frequently and usually with the aim of increasing the traffic recorded by the site and thus increasing revenue from advertising. Clickers may also be used to carry out DDoS attacks."
MalwareLabel,companion virus,Specifies a virus that takes the place of a particular file on a system instead of injecting code into it.
MalwareLabel,cavity filler,"Specifies a type of file-infecting virus which seeks out unused space within the files it infects, inserting its code into these gaps to avoid changing the size of the file and thus not alerting integrity-checking software to its presence."
MalwareLabel,data diddler,"Specifies a type of malware that makes small, random changes to data, such as data in a spreadsheet, to render the data contained in a document inaccurate and in some cases worthless."
MalwareLabel,downloader,"Specifies a small trojan file programmed to download and execute other files, usually more complex malware."
MalwareLabel,dropper file,"Specifies a type of Trojan that deposits an enclosed payload onto a destination host computer by loading itself into memory, extracting the malicious payload, and then writing it to the file system."
MalwareLabel,file infector virus,"Specifies a virus that infects a system by inserting itself somewhere in existing files; this is the ""classic"" form of virus."
MalwareLabel,fork bomb,"Specifies a very simple form of malware, a type of rabbit which simply launches more copies of itself. Once a fork bomb is executed, it will attempt to run several identical processes, which will do the same, the number growing exponentially until the system resources are overwhelmed by the number of identical processes running, which may in some cases bring the system down and cause a denial of service."
MalwareLabel,greyware,"Specifies software that, while not definitely malicious, has a suspicious or potentially unwanted aspect."
MalwareLabel,implant,Specifies code inserted into an existing program using a code patcher or other tool.
MalwareLabel,infector,Specifies a function of malware that alters target files for the purpose of persisting and hiding the injected malware.
MalwareLabel,keylogger,"Specifies a type of program implanted on a system to monitor the keys pressed and thus record any sensitive data, such as passwords, entered by the user."
MalwareLabel,kleptographic worm,"Specifies a worm that encrypts information assets on compromised systems so they can only be decrypted by the worm's author, also known as information-stealing worm."
MalwareLabel,macro virus,"Specifies a virus that uses a macro language, for example in Microsoft Office documents. "
MalwareLabel,malcode,"Short for malicious code, also known as malware."
MalwareLabel,mass-mailer,Specifies fies a worm that uses email to propagate across the internet.
MalwareLabel,metamorphic virus,Specifies a virus that changes its own code with each infection.
MalwareLabel,mid-infector,"Specifies a type of file-infecting virus which places its code in the middle of files it infects. It may move a section of the original code to the end of the file, or simply push the code aside to make space for its own code."
MalwareLabel,mobile code,"Specifies (1) Code received from remote, possibly untrusted systems, but executed on a local system. (2) Software transferred between systems (e.g across a network) and executed on a local system without explicit installation or execution by the recipient."
MalwareLabel,multipartite virus,"Specifies malware that infects boot records, boot sectors, and files."
MalwareLabel,password stealer,"Specifies a type of trojan designed to steal passwords, personal data and details, or other sensitive information from the infected system."
MalwareLabel,polymorphic virus,"Specifies a type of virus that encrypts its code differently with each infection, or generation of infections."
MalwareLabel,premium dialer/smser,Specifies a piece of malware whose primary aim is to dial or send SMS messages to premium rate numbers.
MalwareLabel,prepender,Specifies a file-infecting virus which inserts code at the beginning of the files it infects.
MalwareLabel,ransomware,"Specifies a type of malware that encrypts files on a victim's system, demanding payment of ransom in return for the access codes required to unlock files."
MalwareLabel,rat,"Specifies a remote access trojan or RAT, which is a trojan horse capable of controlling a machine through commands issue by a remote attacker."
MalwareLabel,rogue anti-malware,Specifies a fake security product that demands money to clean phony infections.
MalwareLabel,rootkit,"Generally refers to a method of hiding files or processes from normal methods of monitoring, and is often used by malware to conceal its presence and activities. Originally, the term applied to UNIX-based operating systems - a root kit was a collection of tools to enable a user to obtain root (administrator-level) access to a system and conceal any changes they might make. Such tools often included trojanized versions of standard monitoring software which would hide the root kit operators' activities. More recently the term has generally been applied to malware using stealth techniques. Rootkits can operate at a number of levels, from the application level - simply replacing or adjusting the settings of system software to prevent the display of certain information - through hooking certain functions or inserting modules or drivers into the operating system kernel, to the deeper level of firmware or virtualization rook kits, which are activated before the operating system and thus even harder to detect while the system is running."
MalwareLabel,shellcode,"Specifies (1) A small piece of code that activates a command-line interface to a system that can be used to disable security measures, open a backdoor, or download further malicious code. (2) A small piece of code that opens a system up for exploitation, sometimes by not necessarily involving a command-line shell."
MalwareLabel,spaghetti packer,"A packer that obfuscates programs by emitting ""spaghetti"" code with a complex and tangled control structure."
MalwareLabel,spyware,"Specifies software that gathers information and passes it to a third-party without adequate permission from the owner of the data. It may also be used in a wider sense, to include software that makes changes to a system or any of its component software, or which makes use of system resources without the full understanding and consent of the system owner."
MalwareLabel,trojan horse,Specifies a piece of malicious code disguised as something inert or benign.
MalwareLabel,variant,"Refers to the fact that types of malware can be subdivided into a number of families, or groups sharing many similarities, generally based on the same blocks of code and sharing similar behaviours. Within a family, a variant signifies a single individual item that is uniquely different from other members of the same family."
MalwareLabel,virus,Specifies (1) A self-replicating malicious program that requires human interaction to replicate. (2) A self- replicating program that runs and spreads by modifying other programs or files.
MalwareLabel,wabbit,"Specifies a form of self-replicating malware that makes copies of itself on the local system. Unlike worms, wabbits do not attempt to spread across networks."
MalwareLabel,web bug,"Specifies a piece of code, generally a small file such as a tiny, transparent GIF image, which is used to track data on those viewing the page or mail in which it is hidden."
MalwareLabel,wiper,Specifies a piece of malware whose primary aim is to delete files or entire disks on a machine.
MalwareLabel,worm,"Specifies (1) A self-replicating malicious program that replicates using a network and does not require human interaction. (2) A self-replicating, self-propagating, self-contained program that uses networking mechanisms to spread itself."
MalwareLabel,zip bomb,"Specifies a file compressed into some archive format and that expands to an enormous size when uncompressed, often by looping over the extraction code until the system's resources are exhausted."
AntiBehavioralAnalysisProperties,targeted vm,Refers to the name of a virtual machine (VM) targeted by the anti-behavioral analysis Capability or one of its child Strategic or Tactical Objectives.
AntiBehavioralAnalysisProperties,targeted sandbox,Refers to the name of a sandbox targeted by the anti-behavioral analysis Capability or one of its child Strategic or Tactical Objectives.
AntiBehavioralAnalysisStrategicObjectives,anti-vm,Indicates that the malware instance is able to prevent virtual machine (VM) based behavioral analysis or make it more difficult.
AntiBehavioralAnalysisStrategicObjectives,anti-sandbox,Indicates that the malware instance is able to prevent sandbox-based behavioral analysis or make it more difficult.
AntiBehavioralAnalysisTacticalObjectives,detect vm environment,Indicates that the malware instance is able to detect whether it is being executed in a virtual machine (VM).
AntiBehavioralAnalysisTacticalObjectives,overload sandbox,"Indicates that the malware instance is able to overload a sandbox (e.g., by generating a flood of meaningless behavioral data)."
AntiBehavioralAnalysisTacticalObjectives,prevent execution in sandbox,Indicates that the malware instance is able to prevent its execution in a sandbox.
AntiBehavioralAnalysisTacticalObjectives,detect sandbox environment,Indicates that the malware instance is able to detect whether it is being executed in a sandbox environment.
AntiBehavioralAnalysisTacticalObjectives,prevent execution in vm,Indicates that the malware instance is able to prevent its execution in a virtual machine (VM).
AntiCodeAnalysisStrategicObjective,anti-debugging,Indicates that the malware instance is able to prevent itself from being debugged and/or from being run in a debugger or is able to make debugging more difficult.
AntiCodeAnalysisStrategicObjective,code obfuscation,Indicates that the malware instance is able to obfuscate its code.
AntiCodeAnalysisStrategicObjective,anti-disassembly,Indicates that the malware instance is able to prevent itself from being disassembled or make disassembly more difficult.
AntiCodeAnalysisTacticalObjectives,transform control flow,Indicates that the malware instance is able to transform its control flow.
AntiCodeAnalysisTacticalObjectives,restructure arrays,"Indicates that the malware instance is able to restructure its arrays, making disassembly more difficult."
AntiCodeAnalysisTacticalObjectives,detect debugging,Indicates that the malware instance is able to detect its execution in a debugger.
AntiCodeAnalysisTacticalObjectives,prevent debugging,Indicates that the malware instance is able to prevent its execution in a debugger.
AntiCodeAnalysisTacticalObjectives,defeat flow-oriented (recursive traversal) disassemblers,Indicates that the malware instance is able to defeat its disassembly in a flow-oriented (recursive traversal) disassembler.
AntiCodeAnalysisTacticalObjectives,defeat linear disassemblers,Indicates that the malware instance is able to prevent its disassembly in a linear disassembler.
AntiCodeAnalysisTacticalObjectives,obfuscate instructions,Indicates that the malware instance obfuscates its instructions.
